id,valid,expected,complete,raw_sd,final_sd,outcome_agreement,dimension_vector_agreement
quality-01-1,3,3,True,0.0,0.0,1.0,1.0
quality-01-2,3,3,True,4.714045207910317,1.8856180831641267,1.0,0.6666666666666666
quality-01-3,3,3,True,4.249182927993988,0.0,1.0,0.3333333333333333
quality-02-1,3,3,True,0.0,0.0,1.0,1.0
quality-02-2,3,3,True,3.5355339059327378,0.0,1.0,0.6666666666666666
quality-02-3,3,3,True,9.428090415820634,3.064129385141706,1.0,0.6666666666666666
quality-03-1,3,3,True,0.0,0.0,1.0,1.0
quality-03-2,3,3,True,5.892556509887896,5.892556509887896,1.0,0.6666666666666666
quality-03-3,3,3,True,1.1785113019775793,1.1785113019775793,1.0,0.6666666666666666
quality-04-1,3,3,True,0.0,0.0,1.0,1.0
quality-04-2,3,3,True,5.137011669140814,5.137011669140814,1.0,0.3333333333333333
quality-04-3,3,3,True,7.728015412913086,1.6499158227686108,1.0,0.3333333333333333
quality-05-1,3,3,True,0.0,0.0,1.0,1.0
quality-05-2,3,3,True,4.249182927993988,0.0,1.0,0.3333333333333333
quality-05-3,3,3,True,40.671447806374765,40.671447806374765,0.6666666666666666,0.3333333333333333
quality-06-1,3,3,True,0.0,0.0,1.0,1.0
quality-06-2,3,3,True,3.5355339059327378,0.0,1.0,0.6666666666666666
quality-06-3,3,3,True,3.5355339059327378,3.5355339059327378,1.0,0.6666666666666666
quality-07-1,3,3,True,0.0,0.0,1.0,1.0
quality-07-2,3,3,True,0.0,0.0,1.0,1.0
quality-07-3,3,3,True,0.0,0.0,1.0,1.0
quality-08-1,3,3,True,0.0,0.0,1.0,1.0
quality-08-2,3,3,True,9.428090415820634,9.428090415820634,1.0,0.6666666666666666
quality-08-3,3,3,True,6.236095644623235,6.236095644623235,1.0,0.3333333333333333
