part,id,name,condition,valid,raw_sd,final_sd,outcome_agreement,dimension_vector_agreement
quality,quality-01-1,CSV项目的复习截止,good,True,0.0,0.0,1.0,1.0
quality,quality-01-2,CSV项目的复习截止,mild,True,0.0,0.0,1.0,1.0
quality,quality-01-3,CSV项目的复习截止,severe,True,3.1180478223116177,2.778888666755511,1.0,0.3333333333333333
quality,quality-02-1,二分查找的闭区间更新,good,True,0.0,0.0,1.0,1.0
quality,quality-02-2,二分查找的闭区间更新,mild,True,0.0,0.0,1.0,1.0
quality,quality-02-3,二分查找的闭区间更新,severe,True,4.714045207910317,3.064129385141706,1.0,0.3333333333333333
quality,quality-03-1,提醒冷却的剩余时间,good,True,0.0,0.0,1.0,1.0
quality,quality-03-2,提醒冷却的剩余时间,mild,True,3.5355339059327378,3.5355339059327378,1.0,0.6666666666666666
quality,quality-03-3,提醒冷却的剩余时间,severe,True,6.123724356957945,0.7071067811865476,1.0,0.3333333333333333
quality,quality-04-1,跨午夜的免打扰,good,True,0.0,0.0,1.0,1.0
quality,quality-04-2,跨午夜的免打扰,mild,True,5.892556509887896,5.892556509887896,1.0,0.6666666666666666
quality,quality-04-3,跨午夜的免打扰,severe,True,33.973028517732516,33.973028517732516,0.6666666666666666,0.3333333333333333
quality,quality-05-1,去重函数的失败输入,good,True,0.0,0.0,1.0,1.0
quality,quality-05-2,去重函数的失败输入,mild,True,4.714045207910317,4.242640687119285,1.0,0.6666666666666666
quality,quality-05-3,去重函数的失败输入,severe,True,4.714045207910317,4.714045207910317,1.0,0.6666666666666666
quality,quality-06-1,配置解析器的异常证据,good,True,0.0,0.0,1.0,1.0
quality,quality-06-2,配置解析器的异常证据,mild,True,8.249579113843055,8.249579113843055,0.6666666666666666,0.6666666666666666
quality,quality-06-3,配置解析器的异常证据,severe,True,0.0,0.0,1.0,1.0
quality,quality-07-1,减少预算后的撤销语义,good,True,0.0,0.0,1.0,1.0
quality,quality-07-2,减少预算后的撤销语义,mild,True,2.3570226039551585,2.3570226039551585,1.0,0.6666666666666666
quality,quality-07-3,减少预算后的撤销语义,severe,True,2.3570226039551585,2.3570226039551585,1.0,0.6666666666666666
quality,quality-08-1,找不到上月安排时的澄清,good,True,0.0,0.0,1.0,1.0
quality,quality-08-2,找不到上月安排时的澄清,mild,True,4.714045207910317,4.714045207910317,1.0,0.6666666666666666
quality,quality-08-3,找不到上月安排时的澄清,severe,True,4.249182927993988,4.249182927993988,1.0,0.3333333333333333
new_scenarios,new-01-1,备份脚本计划的采用权限：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-01-2,备份脚本计划的采用权限：严重缺陷,severe,True,1.1785113019775793,1.1785113019775793,1.0,0.3333333333333333
new_scenarios,new-02-1,命令行参数练习的执行凭证：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-02-2,命令行参数练习的执行凭证：严重缺陷,severe,True,5.892556509887896,5.892556509887896,1.0,0.6666666666666666
new_scenarios,new-03-1,可访问性目标被替换：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-03-2,可访问性目标被替换：严重缺陷,severe,True,0.0,0.0,1.0,1.0
new_scenarios,new-04-1,取消订阅后的答题提醒：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-04-2,取消订阅后的答题提醒：严重缺陷,severe,True,0.0,0.0,1.0,1.0
new_scenarios,new-05-1,每日提醒次数上限：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-05-2,每日提醒次数上限：严重缺陷,severe,True,7.0710678118654755,0.7071067811865476,1.0,0.6666666666666666
new_scenarios,new-06-1,站内帮助被转成邮件：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-06-2,站内帮助被转成邮件：严重缺陷,severe,True,3.5355339059327378,3.5355339059327378,1.0,0.6666666666666666
new_scenarios,new-07-1,中文字符的字节统计：正常对照,good,True,3.5355339059327378,3.5355339059327378,1.0,0.6666666666666666
new_scenarios,new-07-2,中文字符的字节统计：严重缺陷,severe,True,4.714045207910317,4.714045207910317,1.0,0.6666666666666666
new_scenarios,new-08-1,分页修复后的新观察：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-08-2,分页修复后的新观察：严重缺陷,severe,True,4.714045207910317,4.714045207910317,1.0,0.6666666666666666
new_scenarios,new-09-1,图片签名校验的必需证据：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-09-2,图片签名校验的必需证据：严重缺陷,severe,True,8.249579113843055,8.249579113843055,1.0,0.3333333333333333
new_scenarios,new-10-1,延后练习时保留批注：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-10-2,延后练习时保留批注：严重缺陷,severe,True,4.714045207910317,4.242640687119285,1.0,0.6666666666666666
new_scenarios,new-11-1,只调整指定项目：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-11-2,只调整指定项目：严重缺陷,severe,True,2.041241452319315,0.0,1.0,0.3333333333333333
new_scenarios,new-12-1,并发更新后的操作范围：正常对照,good,True,0.0,0.0,1.0,1.0
new_scenarios,new-12-2,并发更新后的操作范围：严重缺陷,severe,True,3.5355339059327378,3.5355339059327378,1.0,0.6666666666666666
